ЄДРПОУ;Скорочена назва;Повна назва;Дата створення;Доступ;Підключена до НПА
04383133;ВИКОНАВЧИЙ КОМІТЕТ ДИКАНСЬКОЇ СЕЛИЩНОЇ РАДИ;ВИКОНАВЧИЙ КОМІТЕТ ДИКАНСЬКОЇ СЕЛИЩНОЇ РАДИ;09.09.2021;Веб-доступ;Ні
04410031;ВИКОНКОМ ІВАНЬКІВСЬКОЇ СІЛЬСЬКОЇ РАДИ;ВИКОНАВЧИЙ КОМІТЕТ ІВАНЬКІВСЬКОЇ СІЛЬСЬКОЇ РАДИ;09.09.2021;Веб-доступ;Ні
43448095;"ВІДДІЛ ""ЦНАП ДР"" ВК ГАЙСИНСЬКОЇ МІСЬКОЇ РАДИ";"ВІДДІЛ ""ЦНАП ДР"" ВК ГАЙСИНСЬКОЇ МІСЬКОЇ РАДИ";09.09.2021;Веб-доступ;Ні
44245840;ДІАМ;ДЕРЖАВНА ІНСПЕКЦІЯ АРХІТЕКТУРИ ТА МІСТОБУДУВАННЯ УКРАЇНИ;09.09.2021;АСКОД ;Ні
04051388;УСТИЛУЗЬКА МІСЬКА РАДА;УСТИЛУЗЬКА МІСЬКА РАДА;08.09.2021;АСКОД ;Ні
04387183;Городоцька сільська рада;Городоцька сільська рада Рівненського району Рівненської області;08.09.2021;Веб-доступ;Ні
044086370;ЦНАП виконавчого комітету Баштечківської сільської ради;Відділ Центру надання адміністративних послуг виконавчого комітету Баштечківської сільської ради;08.09.2021;ПК ЦНАП (Вулик);Ні
2570700221;Бахмутська окружна прокуратура;Бахмутська окружна прокуратура;08.09.2021;Megapolis.DocNet;Ні
2570700222;Волноваська окружна прокуратура;Волноваська окружна прокуратура;08.09.2021;Megapolis.DocNet;Ні
2570700223;Костянтинівська окружна прокуратура;Костянтинівська окружна прокуратура;08.09.2021;Megapolis.DocNet;Ні
2570700224;Краматорська окружна прокуратура;Краматорська окружна прокуратура;08.09.2021;Megapolis.DocNet;Ні
2570700225;Покровська окружна прокуратура;Покровська окружна прокуратура;08.09.2021;Megapolis.DocNet;Ні
2570700226;Маріупольська окружна прокуратура;Маріупольська окружна прокуратура;08.09.2021;Megapolis.DocNet;Ні
2570700227;Лівобережна окружна прокуратура;Лівобережна окружна прокуратура;08.09.2021;Megapolis.DocNet;Ні
2570700228;Слов’янська окружна прокуратура;Слов’янська окружна прокуратура;08.09.2021;Megapolis.DocNet;Ні
44153074;ФУ Арцизької МР;Фінансове управління Арцизької міської ради;08.09.2021;Веб-доступ;Ні
04383512;ВИКОНАВЧИЙ КОМІТЕТ БІЛИЦЬКОІ СР;ВИКОНАВЧИЙ КОМІТЕТ БІЛИЦЬКОІ СР;07.09.2021;Веб-доступ;Ні
0352789121;Конотопська окружна прокуратура;Конотопська окружна прокуратура;06.09.2021;Megapolis.DocNet;Ні
0352789122;Охтирська окружна прокуратура;Охтирська окружна прокуратура;06.09.2021;Megapolis.DocNet;Ні
0352789123;Роменська окружна прокуратура;Роменська окружна прокуратура;06.09.2021;Megapolis.DocNet;Ні
0352789124;Сумська окружна прокуратура;Сумська окружна прокуратура;06.09.2021;Megapolis.DocNet;Ні
0352789125;Шосткинська окружна прокуратура;Шосткинська окружна прокуратура;06.09.2021;Megapolis.DocNet;Ні
0352789126;Окружна прокуратура міста Суми;Окружна прокуратура міста Суми;06.09.2021;Megapolis.DocNet;Ні
043490820;ЦНАП Великобийганьської сільської ради;Центр надання адміністративних послуг Великобийганьської сільської ради;06.09.2021;ПК ЦНАП (Вулик);Ні
043758080;ЦНАП виконавчого комітету Березнегуватської селищної ради;"Відділ ""Центр надання адміністративних послуг"" виконавчого органу Березнегуватської селищної ради";06.09.2021;ПК ЦНАП (Вулик);Ні
34648528;"ГО ""ІЛІР""";"ГО ""ІЛІР""";06.09.2021;Веб-доступ;Ні
040617020;ЦНАП виконавчого комітету Бахмацької міської ради;Центр надання адміністративних послуг виконавчого комітету Бахмацької міської ради;03.09.2021;ПК ЦНАП (Вулик);Ні
31477568;КаУ ім. А. Волошина;Карпатський університет імені Августина Волошина;03.09.2021;Веб-доступ;Ні
043492770;ЦНАП Вилоцької селищної ради;Центр надання адміністративних послуг Вилоцької селищної ради;02.09.2021;ПК ЦНАП (Вулик);Ні
04384279;Виконавчий комітет Чорнухинської селищної ради;Виконавчий комітет Чорнухинської селищної ради;02.09.2021;Веб-доступ;Ні
25727677;СЛУЖБА У СПРАВАХ ДІТЕЙ ОДА;СЛУЖБА У СПРАВАХ ДІТЕЙ ОДА;02.09.2021;Веб-доступ;Ні
040617770;Відділ ЦНАП Менської міської ради;"Відділ ""Центр надання адміністративних послуг"" Менської міської ради";01.09.2021;ПК ЦНАП (Вулик);Ні
442972700;ЦНАП Косівської міської ради;Центр надання адміністративних послуг Косівської міської ради Косівського району Івано-Франківської області;31.08.2021;ПК ЦНАП (Вулик);Ні
0290991521;Володимир-Волинська окружна прокуратура;Володимир-Волинська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0290991522;Луцька окружна прокуратура;Луцька окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0290991523;Ковельська окружна прокуратура;Ковельська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0290991524;Камінь-Каширська окружна прокуратура;Камінь-Каширська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0290995021;Бердичівська окружна прокуратура;Бердичівська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0290995022;Житомирська окружна прокуратура;Житомирська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0290995023;Коростенська окружна прокуратура;Коростенська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0290995024;Коростишівська окружна прокуратура;Коростишівська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0290995025;Новоград-Волинська окружна прокуратура;Новоград-Волинська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0290995026;Чуднівська окружна прокуратура;Чуднівська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0291003121;Дрогобицька окружна прокуратура;Дрогобицька окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0291003122;Галицька окружна прокуратура;Галицька окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0291003123;Золочівська окружна прокуратура;Золочівська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0291003124;Жовківська окружна прокуратура;Жовківська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0291003125;Самбірська окружна прокуратура;Самбірська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0291003126;Стрийська окружна прокуратура;Стрийська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0291003127;Пустомитівська окружна прокуратура;Пустомитівська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0291003128;Червоноградська окружна прокуратура;Червоноградська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0291003129;Франківська окружна прокуратура;Франківська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0291003130;Яворівська окружна прокуратура;Яворівська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
04054961;Сквирська міська рада;Сквирська міська рада;30.08.2021;Веб-доступ;Ні
04057126;Ізмаїльська РДА;ІЗМАІЛЬСЬКА РДА;30.08.2021;Веб-доступ;Ні
0485112021;Бериславська окружна прокуратура;Бериславська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0485112022;Генічеська окружна прокуратура;Генічеська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0485112023;Каховська окружна прокуратура;Каховська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0485112024;Олешківська окружна прокуратура;Олешківська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0485112025;Скадовська окружна прокуратура;Скадовська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
0485112026;Херсонська окружна прокуратура;Херсонська окружна прокуратура;30.08.2021;Megapolis.DocNet;Ні
26255660;ФРУ;Федерація роботодавців України;30.08.2021;Веб-доступ;Ні
3834701421;Білоцерківська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;Білоцерківська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;30.08.2021;Megapolis.DocNet;Ні
3834701422;Вінницька спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;Вінницька спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;30.08.2021;Megapolis.DocNet;Ні
3834701423;Дарницька спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;Дарницька спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;30.08.2021;Megapolis.DocNet;Ні
3834701424;Деснянська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;Деснянська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;30.08.2021;Megapolis.DocNet;Ні
3834701425;Житомирська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;Житомирська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;30.08.2021;Megapolis.DocNet;Ні
3834701426;Київська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;Київська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;30.08.2021;Megapolis.DocNet;Ні
3834701427;Полтавська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;Полтавська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;30.08.2021;Megapolis.DocNet;Ні
3834701428;Сумська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;Сумська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;30.08.2021;Megapolis.DocNet;Ні
3834701429;Черкаська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;Черкаська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;30.08.2021;Megapolis.DocNet;Ні
3834701430;Чернігівська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;Чернігівська спеціалізована прокуратура у військовій та оборонній сфері Центрального регіону;30.08.2021;Megapolis.DocNet;Ні
41815107;Виконком Юр’ївської селищної ради;Виконавчий комітет Юр'ївської селищної ради;30.08.2021;ДОК ПРОФ;Ні
44285967;Головне управління Нацсоцслужби у Чернігівській області;Головне управління Нацсоцслужби у Чернігівській області;30.08.2021;Веб-доступ;Ні
262051710;Відділ ЦНАП Сокальської міської ради Львівської області;Відділ Центр надання адміністративних послу Сокальської міської ради Львівської області;28.08.2021;ПК ЦНАП (Вулик);Ні
44065931;ЦНАП Святогірської міської ради;Центр надання адміністративних послуг Святогірської міської ради;28.08.2021;ПК ЦНАП (Вулик);Ні
25042882;ОДЕСЬКА ОБЛАСНА РАДА;ОДЕСЬКА ОБЛАСНА РАДА;27.08.2021;АСКОД ;Ні
0290990921;Гайсинська окружна прокуратура;Гайсинська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0290990922;Вінницька окружна прокуратура;Вінницька окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0290990923;Жмеринська окружна прокуратура;Жмеринська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0290990924;Хмільницька окружна прокуратура;Хмільницька окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0290990925;Могилів-Подільська окружна прокуратура;Могилів-Подільська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0290990926;Немирівська окружна прокуратура;Немирівська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0290990927;Тульчинська окружна прокуратура;Тульчинська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291006021;Глобинська окружна прокуратура;Глобинська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291006022;Диканська окружна прокуратура;Диканська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291006023;Кременчуцька окружна прокуратура;Кременчуцька окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291006024;Миргородська окружна прокуратура;Миргородська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291006025;Лубенська окружна прокуратура;Лубенська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291006026;Полтавська окружна прокуратура;Полтавська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291006027;Решетилівська окружна прокуратура;Решетилівська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291009821;Бережанська окружна прокуратура;Бережанська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291009822;Бучацька окружна прокуратура;Бучацька окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291009823;Кременецька окружна прокуратура;Кременецька окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291009824;Теребовлянська окружна прокуратура;Теребовлянська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291009825;Тернопільська окружна прокуратура;Тернопільська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
0291009826;Чортківська окружна прокуратура;Чортківська окружна прокуратура;26.08.2021;Megapolis.DocNet;Ні
043481310;Відділ ЦНАП Ушомирської сільської ради;Відділ Центр надання адміністративних послуг Ушомирської сільської ради;26.08.2021;ПК ЦНАП (Вулик);Ні
434480950;Відділ ЦНАП ДР ВК Гайсинської МР;Відділ Центр надання адміністративних послуг та державної реєстрації виконавчого комітету Гайсинської міської ради;26.08.2021;ПК ЦНАП (Вулик);Ні
0290992123;Лисичанська окружна прокуратура;Лисичанська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290992126;Сватівська окружна прокуратура;Сватівська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290992127;Сєвєродонецька окружна прокуратура;Сєвєродонецька окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290992128;Старобільська окружна прокуратура;Старобільська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290992129;Щастинська окружна прокуратура;Щастинська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290997321;Бердянська окружна прокуратура;Бердянська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290997322;Василівська окружна прокуратура;Василівська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290997323;Вознесенівська окружна прокуратура міста Запоріжжя;Вознесенівська окружна прокуратура міста Запоріжжя;25.08.2021;Megapolis.DocNet;Ні
0290997324;Дніпровська окружна прокуратура міста Запоріжжя;Дніпровська окружна прокуратура міста Запоріжжя;25.08.2021;Megapolis.DocNet;Ні
0290997325;Запорізька окружна прокуратура;Запорізька окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290997326;Мелітопольська окружна прокуратура;Мелітопольська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290997327;Пологівська окружна прокуратура;Пологівська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290997328;Шевченківська окружна прокуратура міста Запоріжжя;Шевченківська окружна прокуратура міста Запоріжжя;25.08.2021;Megapolis.DocNet;Ні
0290999621;Білоцерківська окружна прокуратура;Білоцерківська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290999622;Бориспільська окружна прокуратура;Бориспільська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290999623;Броварська окружна прокуратура;Броварська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290999624;Бучанська окружна прокуратура;Бучанська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290999625;Вишгородська окружна прокуратура;Вишгородська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290999626;Києво-Святошинська окружна прокуратура;Києво-Святошинська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290999627;Обухівська окружна прокуратура;Обухівська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0290999628;Фастівська окружна прокуратура;Фастівська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291001921;Голосіївська окружна прокуратура міста Києва;Голосіївська окружна прокуратура міста Києва;25.08.2021;Megapolis.DocNet;Ні
0291001922;Дарницька окружна прокуратура міста Києва;Дарницька окружна прокуратура міста Києва;25.08.2021;Megapolis.DocNet;Ні
0291001923;Деснянська окружна прокуратура міста Києва;Деснянська окружна прокуратура міста Києва;25.08.2021;Megapolis.DocNet;Ні
0291001924;Дніпровська окружна прокуратура міста Києва;Дніпровська окружна прокуратура міста Києва;25.08.2021;Megapolis.DocNet;Ні
0291001925;Оболонська окружна прокуратура міста Києва;Оболонська окружна прокуратура міста Києва;25.08.2021;Megapolis.DocNet;Ні
0291001926;Печерська окружна прокуратура міста Києва;Печерська окружна прокуратура міста Києва;25.08.2021;Megapolis.DocNet;Ні
0291001927;Подільська окружна прокуратура міста Києва;Подільська окружна прокуратура міста Києва;25.08.2021;Megapolis.DocNet;Ні
0291001928;Святошинська окружна прокуратура міста Києва;Святошинська окружна прокуратура міста Києва;25.08.2021;Megapolis.DocNet;Ні
0291001929;Солом’янська окружна прокуратура міста Києва;Солом’янська окружна прокуратура міста Києва;25.08.2021;Megapolis.DocNet;Ні
0291001930;Шевченківська окружна прокуратура міста Києва;Шевченківська окружна прокуратура міста Києва;25.08.2021;Megapolis.DocNet;Ні
0291004821;Миколаївська окружна прокуратура;Миколаївська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291004822;Окружна прокуратура міста Миколаєва;Окружна прокуратура міста Миколаєва;25.08.2021;Megapolis.DocNet;Ні
0291004823;Баштанська окружна прокуратура;Баштанська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291004824;Вознесенська окружна прокуратура;Вознесенська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291004825;Первомайська окружна прокуратура;Первомайська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291007721;Рівненська окружна прокуратура;Рівненська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291007722;Дубенська окружна прокуратура;Дубенська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291007723;Вараська окружна прокуратура;Вараська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291007724;Сарненська окружна прокуратура;Сарненська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291007725;Здолбунівська окружна прокуратура;Здолбунівська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291010821;Шевченківська окружна прокуратура міста Харкова;Шевченківська окружна прокуратура міста Харкова;25.08.2021;Megapolis.DocNet;Ні
0291010822;Київська окружна прокуратура міста Харкова;Київська окружна прокуратура міста Харкова;25.08.2021;Megapolis.DocNet;Ні
0291010823;Новобаварська окружна прокуратура міста Харкова;Новобаварська окружна прокуратура міста Харкова;25.08.2021;Megapolis.DocNet;Ні
0291010824;Немишляиська окружна прокуратура міста Харкова;Немишляиська окружна прокуратура міста Харкова;25.08.2021;Megapolis.DocNet;Ні
0291010825;Салтівська окружна прокуратура міста Харкова;Салтівська окружна прокуратура міста Харкова;25.08.2021;Megapolis.DocNet;Ні
0291010826;Слобідська окружна прокуратура міста Харкова;Слобідська окружна прокуратура міста Харкова;25.08.2021;Megapolis.DocNet;Ні
0291010827;Харківська окружна прокуратура;Харківська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291010828;Богодухівська окружна прокуратура;Богодухівська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291010829;Дергачівська окружна прокуратура;Дергачівська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291010830;Ізюмська окружна прокуратура;Ізюмська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291010831;Лозівська окружна прокуратура;Лозівська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291010832;Красноградська окружна прокуратура;Красноградська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291010833;Куп'янська окружна прокуратура;Куп'янська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291010834;Чугуївська окружна прокуратура;Чугуївська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291011421;Козелецька окружна прокуратура;Козелецька окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291011422;Корюківська окружна прокуратура;Корюківська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291011423;Ніжинська окружна прокуратура;Ніжинська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291011424;Новгород-Сіверська окружна прокуратура;Новгород-Сіверська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291011425;Прилуцька окружна прокуратура;Прилуцька окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291011426;Чернігівська окружна прокуратура;Чернігівська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291012021;Вижницька окружна прокуратура;Вижницька окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291012022;Дністровська окружна прокуратура;Дністровська окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
0291012023;Чернівецька окружна прокуратура;Чернівецька окружна прокуратура;25.08.2021;Megapolis.DocNet;Ні
